,BTC,BTC,BTC,BTC,LTC,LTC,LTC,LTC,DASH,DASH,DASH,DASH,XRP,XRP,XRP,XRP,XMR,XMR,XMR,XMR,ETH,ETH,ETH,ETH,ETC,ETC,ETC,ETC,XLM,XLM,XLM,XLM,LSK,LSK,LSK,LSK,XEM,XEM,XEM,XEM
,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,2558.37,2605.86,2526.51,2577.74,40.13,41.94,39.45,41.89,172.13,181.59,171.74,179.62,0.2561,0.2693,0.2513,0.2686,44.42,47.75,44.19,47.1,292.9,322.28,285.89,315.86,17.75,18.92,17.58,18.73,0.02834,0.03254,0.02784,0.03149,2.84,3.02,2.71,2.8,0.1587,0.1754,0.1554,0.1692
2017-06-30,2480.61,2576.28,2469.54,2558.37,39.48,41.22,39.29,40.13,173.7,179.39,171.41,172.13,0.2466,0.2596,0.245,0.2561,43.23,45.49,42.57,44.42,280.68,305.3,270.43,292.9,17.4,18.56,17.01,17.75,0.02637,0.02905,0.02635,0.02834,2.59,3.0,2.5,2.84,0.1559,0.1665,0.155,0.1587
2017-07-01,2424.61,2529.62,2387.47,2480.61,38.08,39.7,37.12,39.48,162.01,177.54,159.0,173.7,0.2386,0.2518,0.2337,0.2466,40.06,43.57,38.87,43.23,261.0,281.81,253.18,280.68,16.5,17.55,15.86,17.4,0.02394,0.02707,0.02238,0.02637,2.47,2.67,2.31,2.59,0.1415,0.1583,0.138,0.1559
2017-07-02,2536.46,2555.34,2375.86,2424.61,41.26,41.65,36.87,38.08,169.78,171.37,159.11,162.01,0.2537,0.2547,0.233,0.2386,42.2,42.72,39.2,40.06,283.99,293.3,254.19,261.0,17.44,17.59,15.95,16.5,0.02523,0.0254,0.0217,0.02394,2.56,2.67,2.21,2.47,0.1561,0.1568,0.1394,0.1415
2017-07-03,2572.47,2617.48,2506.3,2536.46,45.34,47.56,40.36,41.26,178.55,181.05,166.42,169.78,0.2523,0.2567,0.2445,0.2537,43.72,44.17,40.81,42.2,276.41,284.31,272.64,283.99,17.19,17.91,16.82,17.44,0.02605,0.02694,0.02411,0.02523,2.42,2.66,2.29,2.56,0.1735,0.1781,0.1516,0.1561
2017-07-04,2617.32,2658.73,2569.99,2572.47,54.51,54.82,45.34,45.34,181.4,186.35,176.96,178.55,0.2473,0.2581,0.2471,0.2523,45.19,45.72,43.43,43.72,269.05,282.32,265.21,276.41,17.4,18.16,17.11,17.19,0.02579,0.02801,0.02526,0.02605,2.59,2.69,2.32,2.42,0.187,0.195,0.1629,0.1735
2017-07-05,2627.86,2642.74,2562.04,2617.32,52.92,56.58,49.11,54.51,204.92,209.24,178.02,181.4,0.252,0.2563,0.2434,0.2473,45.82,46.66,44.28,45.19,266.0,274.03,253.7,269.05,17.34,17.58,16.82,17.4,0.02558,0.02589,0.02426,0.02579,2.49,2.64,2.37,2.59,0.1736,0.1871,0.17,0.187
2017-07-06,2614.24,2634.84,2581.8,2627.86,51.04,52.98,49.79,52.92,207.71,222.0,198.19,204.92,0.2506,0.2528,0.2482,0.252,49.94,50.16,45.81,45.82,265.88,274.55,261.57,266.0,17.56,17.76,17.0,17.34,0.0253,0.0262,0.025,0.02558,2.68,2.79,2.44,2.49,0.1704,0.1781,0.1628,0.1736
2017-07-07,2513.88,2617.48,2484.73,2614.24,46.1,51.18,44.47,51.04,190.59,208.33,185.47,207.71,0.2303,0.2516,0.2298,0.2506,44.07,50.66,43.51,49.94,240.94,266.25,236.16,265.88,16.08,17.7,15.61,17.56,0.0203,0.02565,0.01969,0.0253,2.42,2.68,2.42,2.68,0.1561,0.1722,0.1506,0.1704
2017-07-08,2564.86,2568.73,2480.62,2513.88,51.22,52.11,44.33,46.1,208.1,208.48,175.66,190.59,0.23,0.2321,0.2112,0.2303,45.9,46.02,41.79,44.07,245.67,248.35,230.96,240.94,16.28,16.38,14.5,16.08,0.02156,0.02182,0.01716,0.0203,2.39,2.46,2.2,2.42,0.1578,0.1648,0.146,0.1561
2017-07-09,2511.43,2576.73,2509.65,2564.86,48.63,52.4,48.32,51.22,195.49,209.98,195.24,208.1,0.2261,0.2422,0.2259,0.23,44.56,46.97,44.22,45.9,237.72,251.79,236.59,245.67,15.56,16.8,15.56,16.28,0.01923,0.02248,0.01923,0.02156,2.11,2.46,2.02,2.39,0.1521,0.1611,0.1506,0.1578
2017-07-10,2344.02,2530.34,2271.79,2511.43,45.0,49.66,42.68,48.63,174.07,198.41,168.56,195.49,0.1883,0.2269,0.1707,0.2261,40.04,45.22,37.59,44.56,205.76,240.09,188.21,237.72,14.2,17.3,13.44,15.56,0.01489,0.01971,0.01361,0.01923,1.79,2.2,1.79,2.11,0.1457,0.158,0.144,0.1521
2017-07-11,2324.29,2412.75,2265.48,2344.02,43.98,46.69,41.84,45.0,162.62,179.12,156.51,174.07,0.1778,0.1994,0.1511,0.1883,36.8,41.37,35.1,40.04,190.55,216.16,175.21,205.76,14.03,15.41,12.0,14.2,0.01432,0.01571,0.01202,0.01489,1.42,1.85,1.36,1.79,0.1457,0.1457,0.1457,0.1457
2017-07-12,2403.09,2424.82,2262.08,2324.29,47.14,48.38,42.4,43.98,177.73,179.02,157.67,162.62,0.1958,0.1971,0.1656,0.1778,40.23,40.92,35.31,36.8,224.15,227.06,181.62,190.55,18.75,19.5,13.18,14.03,0.01784,0.01784,0.01246,0.01432,1.96,2.02,1.42,1.42,0.1337,0.1445,0.1245,0.1445
2017-07-13,2362.44,2436.66,2334.96,2403.09,45.69,47.66,44.07,47.14,167.74,180.54,165.57,177.73,0.1925,0.2178,0.181,0.1958,38.02,40.62,36.84,40.23,205.41,226.66,193.2,224.15,17.55,19.8,16.27,18.75,0.01714,0.0203,0.0152,0.01784,1.82,2.0,1.63,1.96,0.1208,0.1406,0.1126,0.1337
2017-07-14,2234.17,2370.53,2165.36,2362.44,42.46,45.96,39.96,45.69,159.51,173.47,154.9,167.74,0.1843,0.1925,0.1717,0.1925,35.43,38.42,33.95,38.02,197.14,207.07,182.62,205.41,17.0,17.93,16.0,17.55,0.0161,0.0173,0.01463,0.01714,1.72,1.95,1.4,1.82,0.1177,0.1244,0.1093,0.1208
2017-07-15,1975.08,2237.13,1974.03,2234.17,38.41,42.68,37.7,42.46,141.88,161.7,139.66,159.51,0.172,0.1848,0.1707,0.1843,32.15,35.43,31.19,35.43,169.1,198.71,168.95,197.14,14.66,17.0,14.59,17.0,0.01758,0.01824,0.0148,0.0161,1.55,1.76,1.42,1.72,0.1098,0.118,0.1045,0.1177
2017-07-16,1914.09,2044.41,1808.99,1975.08,40.7,41.81,35.49,38.41,131.35,145.91,118.81,141.88,0.1461,0.1743,0.1275,0.172,29.36,32.63,28.22,32.15,155.42,171.91,132.64,169.1,13.92,15.3,12.77,14.66,0.01565,0.0191,0.01349,0.01758,1.31,1.58,1.21,1.55,0.09683,0.1128,0.08767,0.1098
2017-07-17,2233.39,2233.83,1913.79,1914.09,42.17,42.98,39.91,40.7,149.99,150.65,131.35,131.35,0.1723,0.1732,0.1451,0.1461,34.67,35.0,29.27,29.36,189.97,190.26,154.25,155.42,15.02,15.42,13.83,13.92,0.0186,0.01898,0.01549,0.01565,1.69,1.69,1.28,1.31,0.1349,0.1349,0.09681,0.09683
2017-07-18,2320.23,2400.74,2164.59,2233.39,43.35,44.84,40.74,42.17,154.61,163.14,144.39,149.99,0.1788,0.189,0.1605,0.1723,36.32,37.98,33.09,34.67,227.09,256.89,177.42,189.97,15.67,16.38,14.5,15.02,0.01853,0.02039,0.01731,0.0186,1.68,1.78,1.43,1.69,0.1324,0.145,0.1153,0.1349
2017-07-19,2282.58,2412.38,2243.13,2320.23,40.11,43.77,39.82,43.35,153.52,169.31,151.69,154.61,0.163,0.1838,0.1574,0.1788,34.94,37.88,33.9,36.32,194.41,244.02,187.21,227.09,14.14,16.09,13.67,15.67,0.0171,0.01999,0.01691,0.01853,1.59,1.9,1.47,1.68,0.126,0.16,0.1228,0.1324
2017-07-20,2866.02,2932.81,2282.11,2282.58,44.35,45.23,40.11,40.11,182.7,191.94,153.52,153.52,0.1925,0.1962,0.162,0.163,40.96,41.63,34.74,34.94,226.33,235.86,194.41,194.41,16.11,16.18,14.14,14.14,0.01897,0.02095,0.0171,0.0171,1.72,1.8,1.41,1.59,0.1534,0.1612,0.125,0.126
2017-07-21,2675.08,2873.96,2622.54,2866.02,45.2,47.31,43.99,44.35,182.04,191.2,177.56,182.7,0.1835,0.1936,0.1828,0.1925,40.3,42.56,38.8,40.96,216.33,236.62,209.46,226.33,15.95,17.61,15.73,16.11,0.01898,0.02051,0.01851,0.01897,1.85,2.0,1.72,1.72,0.145,0.1534,0.1415,0.1534
2017-07-22,2836.53,2876.71,2658.59,2675.08,46.47,47.11,44.88,45.2,190.17,190.42,180.34,182.04,0.1977,0.2022,0.182,0.1835,44.86,44.94,40.01,40.3,230.47,236.55,215.3,216.33,16.81,17.0,15.93,15.95,0.02312,0.02407,0.0189,0.01898,2.22,2.32,1.81,1.85,0.177,0.179,0.145,0.145
2017-07-23,2756.61,2856.67,2675.65,2836.53,44.67,46.67,43.63,46.47,188.71,191.48,184.75,190.17,0.1966,0.2065,0.1873,0.1977,42.63,44.96,41.58,44.86,228.32,234.17,220.3,230.47,16.09,16.93,15.55,16.81,0.0222,0.02393,0.02054,0.02312,2.13,2.22,1.94,2.22,0.1674,0.1883,0.1555,0.177
2017-07-24,2763.42,2798.89,2715.69,2756.61,44.77,45.28,43.85,44.67,201.48,212.04,183.46,188.71,0.1915,0.1984,0.1893,0.1966,46.06,46.07,41.75,42.63,225.48,229.56,224.04,228.32,15.95,16.37,15.8,16.09,0.02274,0.02314,0.02103,0.0222,2.21,2.21,2.02,2.13,0.1696,0.1737,0.1589,0.1674
2017-07-25,2582.58,2779.08,2472.62,2763.42,42.3,45.05,40.52,44.77,193.45,208.32,179.19,201.48,0.1744,0.1926,0.1658,0.1915,40.66,46.26,37.88,46.06,203.59,225.98,192.64,225.48,14.66,16.04,13.59,15.95,0.01861,0.02307,0.01706,0.02274,2.01,2.49,1.98,2.21,0.1579,0.1784,0.1422,0.1696
2017-07-26,2559.21,2631.73,2441.54,2582.58,42.03,43.09,40.47,42.3,192.22,204.6,185.71,193.45,0.1723,0.1787,0.1642,0.1744,45.77,46.93,38.44,40.66,202.88,209.29,193.1,203.59,14.61,14.9,14.02,14.66,0.01891,0.01994,0.01754,0.01861,1.88,2.42,1.84,2.01,0.1565,0.1665,0.1444,0.1579
2017-07-27,2691.88,2712.92,2547.74,2559.21,41.89,42.41,40.89,42.03,193.71,199.4,190.22,192.22,0.1725,0.1756,0.17,0.1723,45.14,46.66,43.73,45.77,202.93,205.68,198.93,202.88,14.46,14.74,14.25,14.61,0.01848,0.01945,0.01801,0.01891,1.92,2.16,1.87,1.88,0.1716,0.1772,0.1534,0.1565
2017-07-28,2806.75,2843.78,2683.59,2691.88,40.43,42.19,40.17,41.89,184.58,197.69,179.97,193.71,0.1633,0.1738,0.1591,0.1725,43.67,45.87,42.72,45.14,191.21,203.93,189.77,202.93,13.97,14.63,13.73,14.46,0.01708,0.01872,0.01655,0.01848,1.74,1.99,1.74,1.92,0.1655,0.176,0.1554,0.1716
2017-07-29,2733.5,2812.13,2699.42,2806.75,41.07,41.4,38.55,40.43,185.5,186.73,168.29,184.58,0.169,0.1704,0.155,0.1633,43.97,44.39,42.02,43.67,206.14,209.57,177.69,191.21,14.26,14.48,13.27,13.97,0.01747,0.0175,0.01548,0.01708,1.81,1.92,1.72,1.74,0.1693,0.171,0.1562,0.1655
2017-07-30,2766.49,2773.06,2621.68,2733.5,40.61,42.05,39.82,41.07,171.41,188.29,170.19,185.5,0.1633,0.1709,0.1609,0.169,39.92,44.14,39.74,43.97,196.78,209.88,194.12,206.14,13.85,14.45,13.58,14.26,0.01603,0.01765,0.01591,0.01747,1.83,1.94,1.73,1.81,0.159,0.1767,0.1582,0.1693
2017-07-31,2883.27,2916.3,2723.05,2766.49,42.38,43.57,38.45,40.61,175.72,178.86,170.4,171.41,0.1648,0.1689,0.1585,0.1633,39.68,41.16,38.75,39.92,201.33,201.78,190.53,196.78,13.74,14.07,13.32,13.85,0.01605,0.01652,0.01522,0.01603,1.86,1.9,1.73,1.83,0.1612,0.1701,0.1574,0.159
2017-08-01,2746.99,2946.02,2659.62,2883.27,43.16,43.93,41.11,42.38,184.04,185.89,174.37,175.72,0.1776,0.1847,0.162,0.1648,44.13,45.24,39.58,39.68,225.9,232.55,201.27,201.33,14.58,14.85,13.46,13.74,0.01799,0.0181,0.01585,0.01605,2.09,2.16,1.74,1.86,0.1791,0.1857,0.1611,0.1612
2017-08-02,2720.53,2773.8,2668.87,2746.99,41.92,43.19,41.66,43.16,181.6,198.06,178.18,184.04,0.1709,0.1794,0.1676,0.1776,43.84,48.23,42.83,44.13,218.12,228.98,215.71,225.9,14.52,15.31,14.26,14.58,0.0184,0.01986,0.0175,0.01799,2.09,2.15,2.0,2.09,0.2149,0.2404,0.1785,0.1791
2017-08-03,2809.99,2822.88,2717.62,2720.53,42.75,43.18,41.8,41.92,187.64,190.66,177.37,181.6,0.1748,0.1771,0.1696,0.1709,43.24,44.54,43.0,43.84,224.39,228.08,217.84,218.12,15.29,15.35,14.29,14.52,0.01889,0.01911,0.01792,0.0184,2.18,2.23,2.01,2.09,0.22,0.2458,0.2109,0.2149
2017-08-04,2878.49,2892.67,2779.51,2809.99,43.31,43.77,42.41,42.75,187.09,191.71,184.8,187.64,0.1744,0.1767,0.1717,0.1748,45.12,45.61,43.04,43.24,220.6,227.45,219.73,224.39,14.97,15.37,14.77,15.29,0.02245,0.02249,0.01861,0.01889,2.1,2.25,2.06,2.18,0.2236,0.231,0.2112,0.22
2017-08-05,3262.8,3344.01,2875.91,2878.49,46.24,47.23,43.21,43.31,192.0,196.4,183.44,187.09,0.1848,0.1928,0.1719,0.1744,48.6,50.02,45.11,45.12,253.09,258.47,219.72,220.6,15.57,15.92,14.76,14.97,0.02381,0.02715,0.0211,0.02245,2.11,2.12,2.0,2.1,0.2296,0.26,0.215,0.2236
2017-08-06,3232.03,3295.07,3166.52,3262.8,45.56,46.88,45.16,46.24,188.77,194.24,187.03,192.0,0.1802,0.1896,0.1786,0.1848,47.92,49.51,47.34,48.6,264.56,272.22,251.79,253.09,15.57,16.11,15.36,15.57,0.02283,0.02512,0.02259,0.02381,2.11,2.15,2.02,2.11,0.2442,0.255,0.2103,0.2296
2017-08-07,3401.91,3425.13,3198.51,3232.03,46.11,46.7,45.21,45.56,196.64,199.5,186.21,188.77,0.1782,0.1828,0.1766,0.1802,50.16,50.23,47.07,47.92,269.94,274.39,257.41,264.56,15.29,15.58,14.55,15.57,0.0223,0.02329,0.02115,0.02283,2.0,2.15,1.84,2.11,0.2802,0.2913,0.236,0.2442
2017-08-08,3429.38,3494.87,3357.15,3401.91,49.13,49.93,45.69,46.11,203.31,204.33,192.93,196.64,0.1967,0.1972,0.1772,0.1782,51.96,52.85,49.76,50.16,296.51,299.55,266.94,269.94,16.05,16.06,15.14,15.29,0.02378,0.02382,0.02149,0.0223,2.26,2.3,1.93,2.0,0.2731,0.31,0.2548,0.2802
2017-08-09,3348.79,3437.15,3251.03,3429.38,47.78,50.2,46.9,49.13,198.94,206.28,193.21,203.31,0.1841,0.1967,0.1818,0.1967,51.08,53.46,49.6,51.96,295.28,314.75,279.1,296.51,15.34,16.46,15.15,16.05,0.023,0.02473,0.02145,0.02378,2.2,2.48,2.2,2.26,0.2786,0.3014,0.2536,0.2731
2017-08-10,3425.67,3453.84,3322.92,3348.79,46.97,48.68,46.97,47.78,201.01,205.87,195.0,198.94,0.1809,0.185,0.1784,0.1841,49.39,51.38,49.38,51.08,298.28,310.18,289.22,295.24,15.21,15.71,15.16,15.34,0.02207,0.02345,0.02201,0.023,2.32,2.34,2.19,2.29,0.293,0.3046,0.2754,0.2786
2017-08-11,3654.37,3706.48,3409.79,3425.67,47.11,47.62,46.63,46.97,205.66,208.41,198.26,201.01,0.1778,0.184,0.1758,0.1809,50.54,51.49,48.59,49.39,309.32,310.36,295.94,298.28,15.16,15.53,14.87,15.21,0.02166,0.02247,0.02069,0.02207,2.2,2.32,2.13,2.32,0.293,0.3,0.274,0.2931
2017-08-12,3871.62,3967.26,3611.36,3654.37,46.27,47.77,46.0,47.11,204.29,210.39,200.62,205.66,0.1716,0.1825,0.1707,0.1778,49.5,51.76,46.06,50.54,308.02,319.14,303.71,309.32,14.65,15.31,14.44,15.16,0.02005,0.02226,0.01945,0.02166,2.2,2.2,2.2,2.2,0.2741,0.3027,0.2683,0.293
2017-08-13,4062.6,4189.42,3847.31,3871.62,45.49,47.43,44.0,46.27,196.9,207.59,187.07,204.29,0.1657,0.1721,0.1587,0.1716,47.69,50.14,43.82,49.5,296.62,308.87,288.04,308.02,14.12,14.66,13.78,14.65,0.01827,0.0203,0.01713,0.02005,2.24,2.29,2.05,2.2,0.2595,0.2796,0.2234,0.2741
2017-08-14,4327.94,4336.71,3978.95,4062.6,45.7,46.56,45.15,45.49,198.74,203.18,194.08,196.9,0.1683,0.1801,0.1652,0.1657,49.91,49.93,46.5,47.69,299.16,306.3,294.74,296.62,13.98,14.52,13.77,14.12,0.01776,0.01917,0.0168,0.01827,2.32,2.32,2.12,2.24,0.2526,0.2672,0.2332,0.2595
2017-08-15,4161.66,4436.48,3837.13,4327.94,43.17,45.8,41.78,45.7,202.64,204.76,190.63,198.74,0.1577,0.1683,0.153,0.1683,48.7,50.26,45.3,49.91,286.52,299.71,271.38,299.16,13.42,14.07,13.07,13.98,0.01738,0.01877,0.01605,0.01776,2.07,2.4,2.07,2.32,0.2458,0.256,0.2272,0.2526
2017-08-16,4387.4,4398.06,3938.62,4161.66,43.97,44.94,42.1,43.17,231.08,234.5,197.78,202.64,0.1603,0.1606,0.1489,0.1577,48.63,49.05,47.09,48.7,301.38,303.29,280.66,286.52,14.08,14.38,13.17,13.42,0.01774,0.01847,0.01715,0.01738,2.11,2.2,2.07,2.07,0.2568,0.2795,0.2433,0.2458
2017-08-17,4278.92,4487.5,4194.1,4387.4,43.83,44.74,43.13,43.97,234.74,261.7,228.47,231.08,0.1578,0.161,0.154,0.1603,47.26,49.44,47.09,48.63,300.3,310.43,298.19,301.38,13.83,14.25,13.57,14.08,0.01728,0.01818,0.01684,0.01774,2.05,2.12,2.05,2.11,0.2452,0.259,0.2425,0.2568
2017-08-18,4105.37,4362.73,3978.28,4278.92,46.74,47.92,43.23,43.83,222.63,239.59,217.13,234.74,0.1569,0.1704,0.1518,0.1578,46.6,49.0,45.55,47.26,292.62,306.52,287.17,300.3,13.44,14.37,12.51,13.83,0.01675,0.01762,0.01628,0.01728,2.0,2.09,2.0,2.05,0.2412,0.255,0.235,0.2452
2017-08-19,4150.45,4189.68,3957.46,4105.37,45.19,46.89,43.39,46.74,286.58,318.3,222.56,222.63,0.1526,0.1616,0.1483,0.1569,55.52,58.31,46.47,46.6,293.02,298.79,283.65,292.62,13.51,13.96,13.04,13.44,0.01649,0.01724,0.01536,0.01675,2.3,2.3,1.96,2.0,0.2549,0.2631,0.2257,0.2412
2017-08-20,4066.6,4182.29,4034.4,4150.45,45.81,47.39,44.07,45.19,291.51,318.68,283.76,286.58,0.1587,0.1611,0.1494,0.1526,54.95,56.2,51.92,55.52,298.2,298.78,288.48,293.02,13.76,14.18,13.27,13.51,0.0177,0.0184,0.01605,0.01649,3.0,3.59,2.23,2.3,0.276,0.32,0.2545,0.2549
2017-08-21,4005.1,4097.25,3966.93,4066.6,48.09,48.94,45.27,45.81,281.22,299.06,275.8,291.51,0.1958,0.2081,0.1523,0.1587,77.74,98.25,52.67,54.95,321.85,345.44,294.93,298.2,14.66,15.12,13.72,13.76,0.01955,0.0208,0.01705,0.0177,2.83,3.36,2.71,3.0,0.2465,0.31,0.2358,0.276
2017-08-22,4089.7,4142.68,3612.21,4005.1,46.4,48.1,44.85,48.09,291.76,300.61,261.03,281.22,0.2421,0.2598,0.1715,0.1958,90.77,95.77,71.89,77.74,313.37,329.39,293.09,321.85,14.41,15.11,13.37,14.66,0.02153,0.0218,0.01658,0.01955,3.12,3.22,2.7,2.83,0.2495,0.2616,0.2343,0.2465
2017-08-23,4141.09,4255.62,4070.49,4089.7,53.44,55.43,46.05,46.4,292.46,297.48,286.68,291.74,0.2457,0.2977,0.2169,0.2421,90.42,100.08,85.37,90.77,317.4,325.1,313.16,313.37,15.28,16.65,14.19,14.41,0.02011,0.024,0.0195,0.02153,3.08,3.27,2.76,3.12,0.2583,0.2615,0.2413,0.2495
2017-08-24,4318.35,4364.11,4111.71,4141.09,50.36,53.58,50.34,53.44,313.34,313.41,290.56,292.46,0.2173,0.2862,0.2124,0.2457,86.16,94.12,79.26,90.42,325.28,328.65,315.94,317.4,15.13,15.99,15.04,15.28,0.01908,0.02178,0.01821,0.02011,3.79,4.29,2.99,3.08,0.2409,0.26,0.1816,0.2583
2017-08-25,4364.41,4461.71,4292.63,4318.35,51.09,52.3,49.78,50.36,314.96,319.82,306.21,313.34,0.2167,0.2309,0.2029,0.2173,108.01,108.8,85.09,86.16,330.06,337.24,324.69,325.28,15.15,15.58,14.99,15.13,0.02059,0.02059,0.0183,0.01908,4.3,4.64,3.16,3.79,0.256,0.285,0.1819,0.2409
2017-08-26,4352.3,4379.28,4263.28,4364.41,51.58,52.13,50.09,51.09,396.74,411.76,314.22,314.96,0.2097,0.2308,0.2069,0.2167,137.65,148.19,104.67,108.01,332.86,334.7,325.9,330.06,15.28,15.33,14.87,15.15,0.02125,0.02136,0.01912,0.02059,5.99,6.31,4.3,4.3,0.2696,0.339,0.215,0.256
2017-08-27,4345.75,4408.18,4321.12,4352.3,61.08,64.49,51.37,51.58,362.9,398.07,355.84,396.74,0.2017,0.2104,0.193,0.2097,130.74,139.18,124.24,137.65,347.88,347.92,332.8,332.86,16.01,16.35,15.15,15.28,0.0199,0.0215,0.01948,0.02125,7.74,8.83,5.37,5.99,0.2709,0.28,0.255,0.2696
2017-08-28,4390.31,4403.13,4195.23,4345.75,62.36,64.95,58.87,61.08,356.56,369.56,347.91,362.9,0.2252,0.242,0.1947,0.2017,144.99,154.88,128.06,130.74,347.66,350.5,335.41,347.88,15.74,16.41,15.52,16.01,0.02061,0.0215,0.01927,0.0199,6.54,7.98,6.0,7.74,0.2808,0.2887,0.2669,0.2709
2017-08-29,4597.31,4647.83,4350.22,4390.31,63.76,64.2,61.17,62.36,360.1,368.96,352.72,356.56,0.2199,0.2262,0.2125,0.2252,133.21,145.57,127.66,144.99,372.35,375.18,347.24,347.66,15.93,16.1,15.56,15.74,0.02005,0.0209,0.01913,0.02061,5.97,7.36,5.63,6.54,0.282,0.288,0.2771,0.2808
2017-08-30,4583.02,4644.06,4491.79,4597.31,65.97,66.57,61.86,63.76,371.61,374.95,358.43,360.1,0.2319,0.2332,0.2175,0.2199,133.7,137.76,122.44,133.21,383.86,390.64,367.41,372.35,15.96,16.06,15.73,15.93,0.02115,0.0213,0.0198,0.02005,6.24,6.78,5.6,5.97,0.2942,0.3,0.28,0.282
2017-08-31,4735.11,4765.07,4580.13,4583.02,73.03,74.59,65.12,65.97,380.77,383.22,369.39,371.61,0.2593,0.2648,0.2275,0.2319,141.02,143.67,132.24,133.7,388.33,389.64,380.89,383.86,16.78,16.91,15.89,15.96,0.02249,0.02249,0.0208,0.02115,7.04,7.07,5.84,6.24,0.3372,0.34,0.2885,0.2942
2017-09-01,4921.85,4925.23,4690.17,4735.11,87.88,92.77,71.5,73.03,395.46,395.86,375.96,380.77,0.2529,0.2604,0.2444,0.2593,142.84,151.44,136.06,141.02,391.42,395.3,386.71,388.33,22.42,22.89,16.31,16.78,0.02412,0.02456,0.0214,0.02249,7.75,8.97,7.04,7.04,0.3249,0.34,0.3111,0.3372
